,Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE/STOCK,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PROD_ID,RS_PART_NUMBER,RS_PRICE/STOCK,SF_ID,SPICEPREFIX,SUPPLIER,VALUE
x,1,,CONN_01POGOPIN_HOLE_0.58,1X01_POGOPIN_HOLE_0.58_DIA,J3,Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,
x,1,,USB_MICRO-B_SMT,USB-MICROB,J1,USB Type Micro-B Connector,,,,,,,,,,,CONN-09505,,,PRT-08533,,,
x,1,0,R-EU_R0603,R0603,R10,"RESISTOR, European symbol",,,,,,,,,,,,,,,R,,
x,1,1.6nH,C-EUC0603K,C0603K,L1,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,
x,5,100K 1/10W,SMD-RES-100K-5%-1/10W(0603),R0603,"R12, R13, R14, R15, R17",301010089,,,,,,,RC0603JR-07100KL,,,,,,,,,,100K 1/10W
x,9,100nf,CERAMIC-100NF-50V-10%-X7R(0603),C0603,"C5, C9, C10, C11, C15, C19, C20, C22, C25",302010138,,,,,,,CC0603KRX7R9BB104,,,,,,,,,,100nf
x,6,10K,SMD-RES-10K-1%-1/10W(0603),R0603,"R5, R9, R11, R16, R18, R19",301010299,,,,,,,RC0603FR-0710KL,,,,,,,,,,10K
x,1,10K,SMD-RES-10K-5%-1/10W(0603),R0603,R8,301010293,,,,,,,RC0603JR-0710KL,,,,,,,,,,10K 1/10W
x,2,18pF,18PF-0603-50V-5%,603,"C12, C13",18pF ceramic capacitors,,,,,,,,,,,CAP-08267,,,,,,18pF
x,1,2.7p,C-EUC0603,C0603,C16,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,
x,4,22R,SMD-RES-22R-5%-1/10W(0603),R0603,"R1, R2, R6, R7",301010289,,,,,,,RC0603JR-0722RL,,,,,,,,,,22R
x,3,22uf,TANTALUM-SMD-22UF-16V(AVX-B),AVX-B,"C18, C23, C24",302020013,,,,,,,TAJB226*016#NJ,,,,,,,,,,22uf
x,1,2K,SMD-RES-1.5K-1%-1/10W(0603),R0603,R3,301010189,,,,,,,RC0603FR-071K5L,,,,,,,,,,1.5K
